简幻欢 (103.85.86.51) 服务器完整列表
总计: 172个 | 离线: 8个 | 正版: 164个
========================================================================================================================

    端口 | 版本                           |       人数 | 类型    | 验证   | 名称
 31333 | 1.7.10                       |   0/5     | 纯净服 | 正版 | 只有猫娘才可以进入的gtnh服务器喵
 32123 | 1.21.1                       |   0/20    | 纯净服 | 正版 | FTB OceanBlock 2 - 1.19.0
 32219 | 1.21.1                       |   3/10    | 纯净服 | 正版 | §3莱尔星地面基地 §7- §fI§5『北极星城』
§c§l >指令：重构<
 32230 | 1.21.1                       |   0/10    | 纯净服 | 正版 | 1.21.1 - NeoForge 雪山樱花谷
 32319 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'A Minecraft Server'}
 32479 | 1.21.1                       |   1/20    | 纯净服 | 正版 | 1.21.1 - NeoForge 21.1.248 —— Powered by
 32750 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'A Minecraft Server'}
 33067 | 1.20.1                       |   0/14    | 纯净服 | 正版 | {'text': '1.20.1 - Forge 47.4.10 —— Powe
 33121 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'A Minecraft Server'}
 33208 | 1.20.1                       |   1/6     | 纯净服 | 正版 | {'text': '香草纪元'}
 33223 | Lophine 1.21.11              |   0/69    | 插件服 | 正版 | {'text': '', 'extra': [{'text': '', 'ext
 33397 | Paper 1.21.5                 |   0/4     | 插件服 | 正版 | Sudfry
 33445 | Paper 1.20.4                 |   0/2026  | 插件服 | 正版 | {'text': '', 'extra': [{'text': '2B ', '
 33526 | Paper 1.21.11                |   0/20    | 插件服 | 正版 | {'text': '', 'extra': [{'text': '生电 ', '
 33632 | Paper 1.21.4                 |   0/20    | 插件服 | 正版 | A Minecraft Server
 34011 | Purpur 1.21.8                |   5/128   | 插件服 | 正版 | {'text': '', 'extra': [{'text': '', 'ext
 34060 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'A Minecraft Server'}
 34062 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'SERVANT'}
 34213 | 1.20.1                       |   0/10    | 纯净服 | 正版 | {'text': '§l§aOP Server §r§6But For Kour
 34417 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': '锟服-s3'}
 34557 | 1.21.1                       |   0/6     | 纯净服 | 离线 | normalDays
 34842 | 1.21.1                       |   0/2025  | 纯净服 | 离线 | A Minecraft Server
 35244 | 1.21.1                       |   0/20    | 纯净服 | 正版 | A Minecraft Server
 35461 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'A Minecraft Server'}
 35654 | 1.20.1                       |   0/12    | 纯净服 | 正版 | {'text': '§5勇者之章Ⅲ V3.13.14§5\n1111111\n3
 35749 | Paper 26.2                   |   0/300   | 插件服 | 正版 | {'text': '', 'extra': [{'text': 'VoxCraf
 35997 | 1.7.10                       |   0/20    | 纯净服 | 正版 | GT:New Horizons 2.8.4
 36445 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': '温海服务器'}
 36448 | 1.21.1                       |   0/20    | 纯净服 | 正版 | 每人一小块地
 36517 | 1.21.10                      |   0/20    | 纯净服 | 正版 | 小游戏
 36670 | 1.21.1                       |   0/45    | 纯净服 | 正版 | 璃茉
 36776 | 1.12.2                       |   0/5     | 纯净服 | 正版 | {'translate': '快给我玩fgo'}
 36830 | 1.21                         |   0/114   | 纯净服 | 正版 | Yzzz's Server
 36849 | 26.1                         |   0/20    | 纯净服 | 正版 | 26.1纯原版
 36890 | 1.21.1                       |   1/20    | 纯净服 | 正版 | SFE4-SERVER
 36905 | 1.21.1                       |   3/10    | 纯净服 | 正版 | §b方可梦·欢迎你们
 36981 | 1.19.2                       |   0/20    | 纯净服 | 正版 | {'text': 'No-Flesh-Within-Chest-DIM 1.0.
 37046 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'A Minecraft Server'}
 37125 | 1.21.11                      |   5/20    | 纯净服 | 正版 | A Minecraft Server
 37180 | 1.21.1                       |   0/20    | 纯净服 | 正版 | A Minecraft Server
 37436 | 1.21.1                       |   0/3     | 纯净服 | 正版 | A Minecraft Server
 37610 | 1.20.1                       |   3/2026  | 纯净服 | 正版 | {'text': '养老开始！'}
 37833 | 1.21.1                       |   3/114   | 纯净服 | 正版 | §7§lWelcome to our server §e丨 §l§fSurviv
 37963 | 1.21.1                       |   2/20    | 纯净服 | 正版 | §b方可梦 5.9 Beta - 基础
 38150 | 1.20.1                       |   0/10    | 纯净服 | 正版 | {'text': 'A Minecraft Server'}
 38168 | 1.21.1                       |   2/20    | 纯净服 | 正版 | ૮๑′0`๑ა
 38278 | 1.20.1                       |   0/7     | 纯净服 | 正版 | {'text': 'SFE4-SERVER'}
 38326 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'A Minecraft Server'}
 38372 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'A Minecraft Server'}
 38512 | Velocity 1.7.2-26.2          |   0/1     | 插件服 | 正版 | {'color': '#00FF00', 'extra': [{'color':
 38560 | 26.1                         |   0/20    | 纯净服 | 正版 | SFE4-SERVER
 38630 | 1.21                         |   0/20    | 纯净服 | 正版 | SFE4-SERVER
 38665 | Paper 26.2                   |   0/40    | 插件服 | 正版 | A Minecraft Server
 38689 | 1.21.1                       |   1/10    | 纯净服 | 离线 | §b方可梦 5.9 Beta - 魔改科技
 38757 | 1.20.1                       |   0/2026  | 纯净服 | 正版 | {'extra': [{'bold': True, 'extra': [{'co
 38913 | Leaves 1.21.8                |   0/20    | 插件服 | 正版 | {'text': '', 'extra': [{'text': 'Welcome
 39238 | 1.21.1                       |   0/8     | 纯净服 | 正版 | A Minecraft Server
 39292 | 1.21.1                       |   0/4     | 纯净服 | 正版 | All the Mods 10
 39422 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'A Minecraft Server'}
 39714 | 1.21.11                      |   0/15    | 纯净服 | 正版 | 
 39841 | Spigot 1.21                  |   0/10    | 插件服 | 正版 | {'text': '', 'extra': ['一起来手搓附中！']}
 39909 | Paper 1.21.11                |   0/20    | 插件服 | 正版 | A Minecraft Server
 39947 | Spigot 1.21                  |   0/20    | 插件服 | 正版 | {'text': '', 'extra': ['AOY-SERVER']}
 40249 | 1.20.1                       |   0/12    | 纯净服 | 正版 | {'text': '咲新征程-风舒XE'}
 40281 | Paper 1.21.8                 |   0/20    | 插件服 | 正版 | A Minecraft Server
 40298 | 1.21.11                      |   0/20    | 纯净服 | 正版 | A Minecraft Server
 40350 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'komi for world'}
 40356 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'A Minecraft Server'}
 40425 | 1.20.1                       |   0/67    | 纯净服 | 正版 | {'text': '神秘服务器'}
 40478 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'A Minecraft Server'}
 40575 | 1.20.1                       |   0/10    | 纯净服 | 正版 | {'text': 'A Minecraft Server'}
 40670 | 1.21.11                      |   0/3     | 纯净服 | 正版 | A Minecraft Server
 40814 | 1.21.1                       |   0/20    | 纯净服 | 正版 | 1.21.1 - NeoForge 21.1.233 —— Powered by
 40816 | 1.21.1                       |   0/20    | 纯净服 | 正版 | 恭喜发财喵，快进来关注星星喵！
 40886 | 1.12.2                       |   1/20    | 纯净服 | 正版 | {'text': 'RLCraft Dregora 1.1.2b, from t
 40953 | 1.21.1                       |   0/10    | 纯净服 | 正版 | 生存
 41011 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'A Minecraft Server'}
 41063 | 1.21.1                       |   0/20    | 纯净服 | 离线 | 1.21.1 - Fabric 0.19.2 —— Powered by SFE
 41122 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'AAA钻石批发'}
 41165 | 1.20.1                       |   1/20    | 纯净服 | 正版 | {'text': '§9涟漪之篇  §b如涟漪之所见'}
 41303 | 1.21.11                      |   0/100   | 纯净服 | 正版 | 来！
 41431 | 1.21.4                       |   0/20    | 纯净服 | 正版 | SFE4-SERVER
 41543 | 1.21.1                       |   4/15    | 纯净服 | 离线 | A Minecraft Server
 41553 | 1.20.1                       |   1/20    | 纯净服 | 正版 | {'text': 'ZJK'}
 41816 | 1.20.1                       |   0/10    | 纯净服 | 正版 | {'text': '勇者之章Ⅲ 绝望纪元 3.13.14'}
 42328 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'A Minecraft Server'}
 42831 | Purpur 1.21.11               |   0/100   | 插件服 | 正版 | {'text': '', 'extra': [{'text': '', 'ext
 42842 | 1.21.1                       |   0/2     | 纯净服 | 正版 | FTB OceanBlock 2 - v1.16.0
 42908 | 1.21.1                       |   0/20    | 纯净服 | 正版 | §c哒§e哒§a哒§b哒§9哒 §7⚡ §f§e§l§k好想玩§r§e§l原神
 43453 | 1.21.1                       |   1/20    | 纯净服 | 正版 | New_Land
 43573 | 1.7.10                       |   0/20    | 纯净服 | 正版 | GT:New Horizons 2.9.0-beta-1
 43838 | 1.20.1                       |   1/15    | 纯净服 | 正版 | {'text': '催更更的香草纪元'}
 43889 | forge arclight/Horn 1.19.2   |   0/2026  | 模组服 | 正版 | {'extra': [{'text': 'A Minecraft Server'
 43929 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'FarmingTales_ForgeⅡ No Create 
 43941 | Paper 1.21.11                |   0/1500  | 插件服 | 正版 | {'text': '', 'extra': [{'text': '|MaceSM
 44170 | 1.21.1                       |   0/20    | 纯净服 | 正版 | 1.21.1 - NeoForge 21.1.235 —— Powered by
